"gene","insdens"
"SL1344_0001",0.459770114942529
"SL1344_0002",0.150223304912708
"SL1344_0003",0.147311827956989
"SL1344_0005",0.166666666666667
"SL1344_0007",0.156184486373166
"SL1344_0008",0.135363790186125
"SL1344_0009",0.185185185185185
"SL1344_0010",0.165266106442577
"SL1344_0011",0.155555555555556
"SL1344_0014",0.169831223628692
"SL1344_0015",0.0811594202898551
"SL1344_0016",0.177902621722846
"SL1344_0017",0.0608108108108108
"SL1344_0018",0.116242038216561
"SL1344_0019",0.113113113113113
"SL1344_0020",0.147517730496454
"SL1344_0022",0.158660844250364
"SL1344_0023",0.143783371472159
"SL1344_0024",0.159722222222222
"SL1344_0025",0.146520146520147
"SL1344_0026",0.1252408477842
"SL1344_0027",0.114893617021277
"SL1344_0028",0.120567375886525
"SL1344_0029",0.206060606060606
"SL1344_0030",0.0422222222222222
"SL1344_0031",0.0557213930348259
"SL1344_0032",0.0113378684807256
"SL1344_0033",0.233275159976731
"SL1344_0034",0.139949109414758
"SL1344_0035",0.161417322834646
"SL1344_0038",0.177033492822967
"SL1344_0039",0.192307692307692
"SL1344_0041",0.148888888888889
"SL1344_0042",0.143137254901961
"SL1344_0043",0.165938864628821
"SL1344_0044",0.0113636363636364
"SL1344_0046",0.00425985090521832
"SL1344_0050",0.0126182965299685
"SL1344_0051",0.1571072319202
"SL1344_0054",0.261111111111111
"SL1344_0057",0.116666666666667
"SL1344_0059",0.121298949379179
"SL1344_0060",0.115646258503401
"SL1344_0062",0.140039447731755
"SL1344_0063",0.146739130434783
"SL1344_0067",0.147084421235857
"SL1344_0068",0.149938042131351
"SL1344_0069",0.30050505050505
"SL1344_0070",0.165829145728643
"SL1344_0071",0.155216284987277
"SL1344_0072",0.171814671814672
"SL1344_0075",0.189723320158103
"SL1344_0076",0.153047989623865
"SL1344_0077",0.145435244161359
"SL1344_0081",0.168831168831169
"SL1344_0082",0.191846522781775
"SL1344_0083",0.185567010309278
"SL1344_0084",0.174603174603175
"SL1344_0086",0.12241054613936
"SL1344_0087",0.0713902308105207
"SL1344_0088",0.00416666666666667
"SL1344_0089",0.102473498233216
