"gene","insdens"
"BW25113_0001",0.166666666666667
"BW25113_0002",0.0921640276086074
"BW25113_0003",0.111468381564845
"BW25113_0004",0.108003108003108
"BW25113_0005",0.114478114478114
"BW25113_0006",0.105534105534106
"BW25113_0007",0.106918238993711
"BW25113_0008",0.155136268343816
"BW25113_0009",0.113945578231293
"BW25113_0010",0.132275132275132
"BW25113_0011",0.11484593837535
"BW25113_0013",0.133333333333333
"BW25113_0014",0.0135628586332812
"BW25113_0015",0.10079575596817
"BW25113_0018",0.114285714285714
"BW25113_0019",0.0994001713796058
"BW25113_0020",0.131346578366446
"BW25113_0023",0.00378787878787879
"BW25113_0024",0.0319634703196347
"BW25113_0025",0.00212314225053079
"BW25113_0026",0.00212992545260916
"BW25113_0027",0.00404040404040404
"BW25113_0028",0.0622222222222222
"BW25113_0029",0.0010515247108307
"BW25113_0030",0.0961748633879781
"BW25113_0031",0.0024330900243309
"BW25113_0032",0.0774586597040905
"BW25113_0033",0.10397268777157
"BW25113_0034",0.378787878787879
"BW25113_0035",0.120135363790186
"BW25113_0036",0.131043256997455
"BW25113_0037",0.145431145431145
"BW25113_0038",0.09688013136289
"BW25113_0039",0.0918635170603675
"BW25113_0040",0.149174917491749
"BW25113_0041",0.143968871595331
"BW25113_0042",0.0923566878980892
"BW25113_0043",0.0831390831390831
"BW25113_0044",0.0902777777777778
"BW25113_0045",0.0908408408408408
"BW25113_0046",0.11864406779661
"BW25113_0047",0.0831991411701557
"BW25113_0049",0.0652431791221827
"BW25113_0050",0.134920634920635
"BW25113_0051",0.0656934306569343
"BW25113_0052",0.117171717171717
"BW25113_0053",0.0668220668220668
"BW25113_0054",0.00212314225053079
"BW25113_0055",0.147058823529412
"BW25113_0058",0.139393939393939
"BW25113_0059",0.118679050567595
"BW25113_0060",0.101190476190476
"BW25113_0064",0.101251422070535
"BW25113_0065",0.0888888888888889
"BW25113_0066",0.0915593705293276
"BW25113_0067",0.109248913718187
"BW25113_0068",0.0884146341463415
"BW25113_0069",0.0984299516908213
"BW25113_0070",0.142493638676845
"BW25113_0071",0.099009900990099
"BW25113_0072",0.0935046395431834
"BW25113_0073",0.110805860805861
"BW25113_0074",0.124681933842239
"BW25113_0075",0.597701149425287
"BW25113_0076",0.35978835978836
"BW25113_0077",0.141449275362319
"BW25113_0078",0.123983739837398
"BW25113_0080",0.0935323383084577
"BW25113_0081",0.065359477124183
"BW25113_0082",0.0403397027600849
"BW25113_0083",0.0163934426229508
"BW25113_0084",0.00452744765138653
"BW25113_0085",0.000672043010752688
"BW25113_0086",0.00367917586460633
"BW25113_0087",0.00277008310249307
"BW25113_0088",0.00455580865603645
"BW25113_0089",0.00642570281124498
"BW25113_0090",0.00187265917602996
